/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=416, Training Error=-2.704, Testing Error=173.016
Generation=417, Training Error=-2.702, Testing Error=173.006
Generation=418, Training Error=-2.700, Testing Error=172.996
Generation=419, Training Error=-2.697, Testing Error=172.985
Generation=420, Training Error=-2.695, Testing Error=172.975
Generation=421, Training Error=-2.692, Testing Error=172.965
Generation=422, Training Error=-2.689, Testing Error=172.954
Generation=423, Training Error=-2.686, Testing Error=172.944
Generation=424, Training Error=-2.683, Testing Error=172.934
Generation=425, Training Error=-2.680, Testing Error=172.923
Generation=426, Training Error=-2.676, Testing Error=172.913
Generation=427, Training Error=-2.673, Testing Error=172.903
Generation=428, Training Error=-2.669, Testing Error=172.893
Generation=429, Training Error=-2.665, Testing Error=172.882
Generation=430, Training Error=-2.660, Testing Error=172.872
Generation=431, Training Error=-2.656, Testing Error=172.862
Generation=432, Training Error=-2.651, Testing Error=172.852
Generation=433, Training Error=-2.647, Testing Error=172.842
Generation=434, Training Error=-2.642, Testing Error=172.832
Generation=435, Training Error=-2.637, Testing Error=172.821
Generation=436, Training Error=-2.632, Testing Error=172.811
Generation=437, Training Error=-2.627, Testing Error=172.801
Generation=438, Training Error=-2.621, Testing Error=172.791
Generation=439, Training Error=-2.616, Testing Error=172.781
Generation=440, Training Error=-2.610, Testing Error=172.771
Generation=441, Training Error=-2.604, Testing Error=172.761
Generation=442, Training Error=-2.598, Testing Error=172.751
Generation=443, Training Error=-2.592, Testing Error=172.741
Generation=444, Training Error=-2.586, Testing Error=172.731
Generation=445, Training Error=-2.580, Testing Error=172.721
Generation=446, Training Error=-2.573, Testing Error=172.710
Generation=447, Training Error=-2.567, Testing Error=172.700
Generation=448, Training Error=-2.560, Testing Error=172.691
Generation=449, Training Error=-2.554, Testing Error=172.681
Generation=450, Training Error=-2.547, Testing Error=172.671
Generation=451, Training Error=-2.540, Testing Error=172.661
Generation=452, Training Error=-2.533, Testing Error=172.651
Generation=453, Training Error=-2.526, Testing Error=172.641
Generation=454, Training Error=-2.518, Testing Error=172.631
Generation=455, Training Error=-2.511, Testing Error=172.621
Generation=456, Training Error=-2.504, Testing Error=172.611
Generation=457, Training Error=-2.496, Testing Error=172.601
Generation=458, Training Error=-2.488, Testing Error=172.591
Generation=459, Training Error=-2.481, Testing Error=172.581
Generation=460, Training Error=-2.473, Testing Error=172.572
Generation=461, Training Error=-2.465, Testing Error=172.562
Generation=462, Training Error=-2.457, Testing Error=172.552
Generation=463, Training Error=-2.449, Testing Error=172.542
Generation=464, Training Error=-2.441, Testing Error=172.532
Generation=465, Training Error=-2.433, Testing Error=172.523
Generation=466, Training Error=-2.425, Testing Error=172.513
Generation=467, Training Error=-2.416, Testing Error=172.503
Generation=468, Training Error=-2.408, Testing Error=172.493
Generation=469, Training Error=-2.399, Testing Error=172.484
Generation=470, Training Error=-2.391, Testing Error=172.474
Generation=471, Training Error=-2.382, Testing Error=172.464
Generation=472, Training Error=-2.373, Testing Error=172.454
Generation=473, Training Error=-2.365, Testing Error=172.445
Generation=474, Training Error=-2.356, Testing Error=172.435
Generation=475, Training Error=-2.347, Testing Error=172.425
Generation=476, Training Error=-2.338, Testing Error=172.416
Generation=477, Training Error=-2.329, Testing Error=172.406
Generation=478, Training Error=-2.320, Testing Error=172.396
Generation=479, Training Error=-2.311, Testing Error=172.387
Generation=480, Training Error=-2.302, Testing Error=172.377
Generation=481, Training Error=-2.293, Testing Error=172.368
Generation=482, Training Error=-2.283, Testing Error=172.358
Generation=483, Training Error=-2.274, Testing Error=172.349
Generation=484, Training Error=-2.265, Testing Error=172.339
Generation=485, Training Error=-2.255, Testing Error=172.329
Generation=486, Training Error=-2.246, Testing Error=172.320
Generation=487, Training Error=-2.236, Testing Error=172.310
Generation=488, Training Error=-2.227, Testing Error=172.301
Generation=489, Training Error=-2.217, Testing Error=172.291
Generation=490, Training Error=-2.208, Testing Error=172.282
Generation=491, Training Error=-2.198, Testing Error=172.272
Generation=492, Training Error=-2.189, Testing Error=172.263
Generation=493, Training Error=-2.179, Testing Error=172.253
Generation=494, Training Error=-2.169, Testing Error=172.244
Generation=495, Training Error=-2.159, Testing Error=172.235
Generation=496, Training Error=-2.150, Testing Error=172.225
Generation=497, Training Error=-2.140, Testing Error=172.216
Generation=498, Training Error=-2.130, Testing Error=172.206
Generation=499, Training Error=-2.120, Testing Error=172.197
Generation=500, Training Error=-2.110, Testing Error=172.188
Generation=501, Training Error=-2.101, Testing Error=172.178
Generation=502, Training Error=-2.091, Testing Error=172.169
Generation=503, Training Error=-2.081, Testing Error=172.159
Generation=504, Training Error=-2.071, Testing Error=172.150
Generation=505, Training Error=-2.061, Testing Error=172.141
Generation=506, Training Error=-2.051, Testing Error=172.131
Generation=507, Training Error=-2.041, Testing Error=172.122
Generation=508, Training Error=-2.031, Testing Error=172.113
Generation=509, Training Error=-2.021, Testing Error=172.103
Generation=510, Training Error=-2.012, Testing Error=172.094
Generation=511, Training Error=-2.002, Testing Error=172.085
Generation=512, Training Error=-1.992, Testing Error=172.076
Generation=513, Training Error=-1.982, Testing Error=172.066
Generation=514, Training Error=-1.972, Testing Error=172.057
Generation=515, Training Error=-1.962, Testing Error=172.048
Generation=516, Training Error=-1.952, Testing Error=172.038
Generation=517, Training Error=-1.942, Testing Error=172.029
Generation=518, Training Error=-1.932, Testing Error=172.020
Generation=519, Training Error=-1.922, Testing Error=172.011
Generation=520, Training Error=-1.913, Testing Error=172.001
Generation=521, Training Error=-1.903, Testing Error=171.992
Generation=522, Training Error=-1.893, Testing Error=171.983
Generation=523, Training Error=-1.883, Testing Error=171.974
