/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=268, Training Error=-30.364, Testing Error=3.376
Generation=269, Training Error=-29.990, Testing Error=3.326
Generation=270, Training Error=-29.620, Testing Error=3.276
Generation=271, Training Error=-29.254, Testing Error=3.227
Generation=272, Training Error=-28.893, Testing Error=3.179
Generation=273, Training Error=-28.536, Testing Error=3.131
Generation=274, Training Error=-28.183, Testing Error=3.084
Generation=275, Training Error=-27.835, Testing Error=3.037
Generation=276, Training Error=-27.490, Testing Error=2.991
Generation=277, Training Error=-27.150, Testing Error=2.946
Generation=278, Training Error=-26.814, Testing Error=2.901
Generation=279, Training Error=-26.482, Testing Error=2.856
Generation=280, Training Error=-26.153, Testing Error=2.812
Generation=281, Training Error=-25.829, Testing Error=2.769
Generation=282, Training Error=-25.509, Testing Error=2.726
Generation=283, Training Error=-25.192, Testing Error=2.684
Generation=284, Training Error=-24.879, Testing Error=2.642
Generation=285, Training Error=-24.570, Testing Error=2.600
Generation=286, Training Error=-24.264, Testing Error=2.559
Generation=287, Training Error=-23.962, Testing Error=2.519
Generation=288, Training Error=-23.664, Testing Error=2.479
Generation=289, Training Error=-23.369, Testing Error=2.440
Generation=290, Training Error=-23.078, Testing Error=2.401
Generation=291, Training Error=-22.791, Testing Error=2.362
Generation=292, Training Error=-22.506, Testing Error=2.324
Generation=293, Training Error=-22.225, Testing Error=2.287
Generation=294, Training Error=-21.948, Testing Error=2.250
Generation=295, Training Error=-21.673, Testing Error=2.213
Generation=296, Training Error=-21.402, Testing Error=2.177
Generation=297, Training Error=-21.135, Testing Error=2.141
Generation=298, Training Error=-20.870, Testing Error=2.105
Generation=299, Training Error=-20.609, Testing Error=2.070
Generation=300, Training Error=-20.350, Testing Error=2.036
Generation=301, Training Error=-20.095, Testing Error=2.002
Generation=302, Training Error=-19.843, Testing Error=1.968
Generation=303, Training Error=-19.594, Testing Error=1.935
Generation=304, Training Error=-19.348, Testing Error=1.902
Generation=305, Training Error=-19.104, Testing Error=1.869
Generation=306, Training Error=-18.864, Testing Error=1.837
Generation=307, Training Error=-18.626, Testing Error=1.805
Generation=308, Training Error=-18.392, Testing Error=1.774
Generation=309, Training Error=-18.160, Testing Error=1.743
Generation=310, Training Error=-17.931, Testing Error=1.712
Generation=311, Training Error=-17.704, Testing Error=1.682
Generation=312, Training Error=-17.481, Testing Error=1.652
Generation=313, Training Error=-17.260, Testing Error=1.622
Generation=314, Training Error=-17.041, Testing Error=1.593
Generation=315, Training Error=-16.825, Testing Error=1.564
Generation=316, Training Error=-16.612, Testing Error=1.536
Generation=317, Training Error=-16.401, Testing Error=1.508
Generation=318, Training Error=-16.193, Testing Error=1.480
Generation=319, Training Error=-15.988, Testing Error=1.452
Generation=320, Training Error=-15.784, Testing Error=1.425
Generation=321, Training Error=-15.583, Testing Error=1.398
Generation=322, Training Error=-15.385, Testing Error=1.372
Generation=323, Training Error=-15.189, Testing Error=1.345
Generation=324, Training Error=-14.995, Testing Error=1.319
Generation=325, Training Error=-14.804, Testing Error=1.294
Generation=326, Training Error=-14.615, Testing Error=1.268
Generation=327, Training Error=-14.428, Testing Error=1.243
Generation=328, Training Error=-14.243, Testing Error=1.219
Generation=329, Training Error=-14.061, Testing Error=1.194
Generation=330, Training Error=-13.880, Testing Error=1.170
Generation=331, Training Error=-13.702, Testing Error=1.146
Generation=332, Training Error=-13.526, Testing Error=1.123
Generation=333, Training Error=-13.352, Testing Error=1.100
Generation=334, Training Error=-13.180, Testing Error=1.077
Generation=335, Training Error=-13.011, Testing Error=1.054
Generation=336, Training Error=-12.843, Testing Error=1.031
Generation=337, Training Error=-12.677, Testing Error=1.009
Generation=338, Training Error=-12.513, Testing Error=0.987
Generation=339, Training Error=-12.351, Testing Error=0.966
Generation=340, Training Error=-12.192, Testing Error=0.944
Generation=341, Training Error=-12.034, Testing Error=0.923
Generation=342, Training Error=-11.877, Testing Error=0.902
Generation=343, Training Error=-11.723, Testing Error=0.882
Generation=344, Training Error=-11.571, Testing Error=0.861
Generation=345, Training Error=-11.420, Testing Error=0.841
Generation=346, Training Error=-11.271, Testing Error=0.821
Generation=347, Training Error=-11.124, Testing Error=0.802
Generation=348, Training Error=-10.979, Testing Error=0.782
Generation=349, Training Error=-10.835, Testing Error=0.763
Generation=350, Training Error=-10.694, Testing Error=0.744
Generation=351, Training Error=-10.553, Testing Error=0.725
Generation=352, Training Error=-10.415, Testing Error=0.707
Generation=353, Training Error=-10.278, Testing Error=0.688
Generation=354, Training Error=-10.143, Testing Error=0.670
Generation=355, Training Error=-10.009, Testing Error=0.652
Generation=356, Training Error=-9.877, Testing Error=0.635
Generation=357, Training Error=-9.747, Testing Error=0.617
Generation=358, Training Error=-9.618, Testing Error=0.600
Generation=359, Training Error=-9.491, Testing Error=0.583
Generation=360, Training Error=-9.365, Testing Error=0.566
Generation=361, Training Error=-9.241, Testing Error=0.550
Generation=362, Training Error=-9.118, Testing Error=0.533
Generation=363, Training Error=-8.996, Testing Error=0.517
Generation=364, Training Error=-8.876, Testing Error=0.501
Generation=365, Training Error=-8.758, Testing Error=0.485
Generation=366, Training Error=-8.641, Testing Error=0.469
Generation=367, Training Error=-8.525, Testing Error=0.454
Generation=368, Training Error=-8.411, Testing Error=0.439
